Taxon	Taxonomic_ID
lsl	362948
llm	416870
llc	272622
lla	272623
lhk	557598
lcm	7897
lip	363253
lpc	400673
lpf	297245
lpp	297246
lpn	272624
lxx	281090
lma	347515
lbf	355278
lbi	456481
lbj	355277
lbl	355276
lic	267671
lil	189518
lch	395495
lci	349519
lme	203120
lve	118797
lin	272626
lmc	568819
lmo	169963
lmf	265669
lmh	552536
lwe	386043
loa	7209
lgi	225164
lsp	444177
mcf	9541
mcc	9544
mcl	458233
mgr	242507
mgm	156889
mag	342108
mgl	425265
mdm	3750
msu	221988
mmr	394221
maq	351348
mmw	400668
mbe	1072389
mtr	3880
mlr	747676
mfl	265311
mlo	266835
mse	399549
maj	655844
msi	420247
mja	243232
rci	351160
mbu	259564
mae	419665
mmq	402880
mmx	444158
mmz	426368
mmp	267377
mvn	406327
mla	410358
mem	368407
mka	190192
mbn	456442
mtp	349307
mac	188937
mba	269797
mma	192952
mst	339860
mhu	323259
mth	187420
sut	1006543
suw	663951
sug	523796
saut	1074919
sauj	1074919
sauk	1074919
sauq	1074919
sauv	1074919
sauw	1074919
saux	1074919
sauy	1074919
saue	1392476
min	481448
mpt	420662
mfa	265072
mea	272630
mch	440085
mex	419610
mno	460265
mpo	441620
mrd	426355
met	426117
msl	395965
mca	243233
mlu	465515
mar	449447
mpp	564608
mis	296587
mrr	1381753
mdo	13616
mbr	431895
mta	264732
sauz	1406863
mmu	10090
mus	214687
mde	7370
mab	561007
mav	243243
mpa	262316
mbb	410289
mbt	561275
mbo	233413
mgi	350054
mlb	561304
mle	272631
mmi	216594
msm	246196
mjl	164757
mkm	189918
mmc	164756
mtc	83331
mtf	336982
mra	419947
mtu	83332
mtb	478434
mul	362242
mva	350058
maa	347257
mat	243272
mcp	340047
mga	710127
mge	243273
mhn	907287
mhy	295358
mhp	262722
mhj	262719
mlh	866629
mmo	267748
mmy	272632
mpe	272633
mpj	722438
mpn	272634
mpu	272635
msy	262723
myb	109478
myd	225400
mxa	246197
ngi	1026970
neq	228908
nvi	7425
nth	457570
nph	348780
nam	598659
ngo	242231
ngk	521006
nmn	374833
nmc	272831
nme	122586
nma	122587
nve	45351
npa	1287680
nse	222891
nfi	331117
nte	510951
nis	387092
nha	323097
nwi	323098
noc	323261
neu	228410
net	335283
nmr	436308
nmu	323848
nfa	247156
nca	196162
nle	61853
npu	63737
ana	103690
nar	279238
oih	221109
oan	439375
ooe	203123
oca	504832
poy	262768
ote	452637
ots	357244
ott	334380
oaa	9258
ocu	9986
obr	4533
osa	39947
ola	8090
olu	436017
ota	70448
oas	9940
ptr	9598
phd	59538
pdi	435591
pbn	502780
pde	318586
ptm	412030
pla	402881
pmu	272843
eca	218491
pct	561230
ppe	278197
phe	485917
pca	338963
ppd	338966
plt	319225
pph	324925
pss	13735
pth	370438
cdf	272563
pmx	123214
pmo	403833
pti	556484
pco	650164
pvu	3885
pzu	450851
pda	42345
ppr	298386
plu	243265
ppp	3218
pif	403677
psoj	67593
pto	263820
pfa	36329
pfd	57267
pfh	137071
pvx	126793
pxy	51655
pna	365044
pol	296591
pnu	312153
pne	452638
pop	3694
pgn	431947
pgi	242619
pmb	146891
pmm	59919
pmj	93059
pmh	93060
pmg	167546
pmf	59922
pmi	74546
pmt	74547
pmc	167542
pme	167555
pmn	59920
pma	167539
pac	267747
paa	290512
pmr	529507
pmum	102107
pper	3760
pat	342610
pha	326442
pfj	383855
pag	557722
pap	381754
pae	208964
pau	208963
pen	384676
pfo	205922
pfs	216595
pmy	399739
pfl	220664
ppf	351746
ppg	76869
ppu	160488
ppw	390235
psa	379731
psp	264730
psb	205918
pst	223283
phi	181119
par	259536
pcr	335284
prw	349106
pin	357804
pale	9402
psq	741275
pai	178306
pas	340102
pcl	410359
pis	384616
tne	444157
pab	272844
pfu	186497
pho	70601
pbi	176946
reh	381666
rpf	428406
rpi	402626
rso	267608
rno	10116
rsa	288705
rro	61622
ret	347834
rec	491916
rlg	395491
rlt	395492
rle	216596
rsp	272943
rsq	349102
rsh	349101
rsk	557760
rer	234621
rha	101510
rop	632772
rfr	338969
rba	243090
rpe	316055
rpc	316056
rpd	316057
rpa	258594
rpb	316058
rpt	395960
rce	414684
rru	269796
raf	347255
rak	293614
rbo	391896
rbe	336407
rcm	293613
rco	272944
rfe	315456
rms	416276
rpk	562019
rpr	272947
rrj	452659
rri	392021
rty	257363
rca	383372
rrs	357808
rde	375451
rxy	266117
sil	246200
sit	292414
cth	203119
ctx	637887
sce	559292
sde	203122
sen	405948
sru	309807
saq	391037
stp	369723
ses	882884
sea	454166
sec	321314
sed	439851
set	550537
seg	550538
seh	454169
see	423368
sek	554290
spt	295319
spq	1016998
sei	476213
sew	439843
sty	220341
stt	209261
stm	99287
shr	9305
pic	322104
scm	578458
spo	284812
ssl	665079
sla	578457
spe	399741
sita	4555
saz	326297
sbl	325240
sbm	402882
sbn	399599
sbp	407976
sdn	318161
sfr	318167
shl	458817
slo	323850
son	211586
spl	398579
swp	225849
spc	319224
sse	425104
shn	94122
she	60480
shm	60481
shw	351745
swd	392500
sbc	344609
sbo	300268
sdy	300267
sfx	198215
sfl	198214
sfv	373384
ssn	300269
rhi	394
smd	366394
sme	266834
sgl	343509
sly	4081
sot	4113
soc	13686
scl	448385
sbi	4558
spaa	619300
swi	392499
sal	317655
sab	273036
sac	93062
sah	359787
saj	359786
sar	282458
sas	282459
saw	418127
sav	158878
sam	196620
sau	158879
sao	93061
sae	426430
saa	451515
sax	451516
sca	396513
sep	176280
ser	176279
sha	279808
ssp	342451
smr	399550
sml	522373
smt	391008
shs	721885
sag	208435
sak	205921
san	211110
sds	486410
seu	553482
seq	40041
sez	552526
sgo	467705
smu	210007
snm	488221
sne	561276
spw	516950
spd	373153
spx	512566
spv	487214
sjj	488222
spp	488223
spr	171101
snt	487213
spn	170187
spf	160491
sph	370552
spa	286636
spi	370554
spj	370553
spg	198466
spz	293653
spb	319701
spm	186103
spk	370551
soz	471876
spy	160490
sps	193567
stf	1046629
ssa	388919
ssu	391295
ssv	391296
ssb	568814
ssi	218494
sss	568813
stc	299768
ste	322159
stl	264199
sub	218495
sma	227882
sco	100226
sgr	455632
spu	7668
sai	330779
sis	429572
sia	427317
sim	427318
sid	426118
siy	439386
sin	419942
sso	273057
sto	273063
saf	204536
sul	436114
tdn	326298
sun	387093
ssc	9823
sth	292459
syc	269084
syf	1140
syg	64471
syd	110662
sye	316279
cyb	321332
cya	321327
syp	32049
syr	316278
syx	32051
syw	84588
syn	1148
sfu	335543
swo	335541
sat	56780
tgu	59729
tru	31033
ttu	377629
tet	312017
tbl	1071380
tps	296543
tan	353154
tpv	333668
tcc	3641
tpd	340099
tex	399726
tte	273068
tfu	269800
tga	593117
tko	69014
ton	523850
tye	289376
tpe	368408
tro	309801
tac	273075
tvo	273116
taf	484019
tme	391009
tel	197221
tle	416591
tma	243274
tna	309803
tpt	390874
trq	126740
tth	262724
ttj	300852
tgr	396588
tbd	292415
tcx	317025
tmn	1286976
tau	595494
tms	578456
tde	243275
tpa	243276
tpp	455434
tca	7070
ter	203124
tva	412133
tad	10228
tws	218496
twh	203267
tcr	353153
tup	246437
rsd	471821
upa	505682
uur	273119
uue	565575
umr	29073
uma	237631
vpo	436907
vap	543728
vei	391735
vda	498257
vha	338187
vcm	579112
vcj	593588
vch	243277
vco	345073
vpa	223926
vsp	575788
vvu	216895
vvy	196600
vvi	29760
vcn	3068
wic	1299270
wse	671144
wbr	36870
wol	163164
wri	66084
wbm	292805
wpi	570417
wsu	273121
xau	78245
xcb	314565
xcc	190485
xca	509169
xcv	316273
xac	190486
xoo	291331
xom	342109
xop	360094
xtr	8364
xla	8355
xma	8083
xfa	160492
xfm	405440
xfn	405441
xft	183190
yen	393305
ypm	229193
ypg	349746
ypa	360102
yph	547048
ype	214092
ypk	187410
ypn	377628
ypp	386656
ypi	349747
yps	273123
ypb	502801
ypy	502800
zma	4577
zmm	555217
zmo	264203
eta	465817
tmz	85643
elf	591946
mco	572263
tsi	604354
dze	561229
ebl	469008
gem	443144
hci	573234
pay	291112
mmb	583345
mei	582744
ebr	413997
hba	582402
lpj	644042
mdi	661410
etw	544404
hpb	592205
nri	434131
fba	531844
nmi	662598
bmr	568815
afo	525909
ami	446462
sms	595499
cpi	485918
ctj	580049
ccu	469378
apr	525919
bfa	446465
app	522306
cai	479433
cyh	395962
dfe	471854
hut	519442
jde	471856
kko	523791
kse	478801
lba	523794
mfe	573064
